match_id,fecha,fase,competencia,equipo,min,pts,poss,plays,pace,oer,der,net_rtg,efg%,ts%,ro%,rd%,tr%,per%,rtl%,pts_t1,pts_t2,pts_t3,t2i%_local,t3i%_local
2607028,2024-12-15,Final four,LNB 2,CD ILLAPEL BASQUETBOL,200,67,81.08,95.08,81.44,0.7,0.54,0.16,36.36,41.83,29.17,74.0,51.58,15.78,28.79,0.59,0.84,0.52,65.15,34.85
2607028,2024-12-15,Final four,LNB 2,CORP. DEP. BOSTON COLLEGE,200,51,81.8,94.8,81.44,0.54,0.7,-0.16,30.95,35.52,26.0,70.83,48.42,24.26,19.05,0.6,0.6,0.64,47.62,52.38
